,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_channelExponent,params_dropout,params_learning_rate,params_weight_decay,state
41,41,5.647881644112723,2024-04-29 13:08:25.816440,2024-04-29 13:12:08.847202,0 days 00:03:43.030762,0.8608540711081779,0.7724947442787768,5,0.18178479817432802,0.004754407663489654,4.5227642293240105e-05,COMPLETE
42,42,5.277035581085073,2024-04-29 13:09:40.141721,2024-04-29 13:16:31.228160,0 days 00:06:51.086439,0.8632187556176014,0.9006985796051021,6,0.27242023910127217,0.0028993453300276456,3.9944879111389786e-05,COMPLETE
43,43,6.053662143228374,2024-04-29 13:09:59.146285,2024-04-29 13:18:11.175471,0 days 00:08:12.029186,0.8515265256181368,0.7646826349591631,5,0.268385355824838,0.0031550109379925575,1.6941176862879708e-05,COMPLETE
44,44,3.279226551324258,2024-04-29 13:11:01.920466,2024-04-29 13:23:29.363937,0 days 00:12:27.443471,0.8485560855297282,0.8532475477426245,8,0.04545466761940442,0.0001786028204079411,1.8782557711456015e-05,COMPLETE
45,45,3.763190626582026,2024-04-29 13:12:08.867839,2024-04-29 13:27:44.617201,0 days 00:15:35.749362,0.8471022461402499,0.8522226484967722,8,0.03833001529956392,0.00186603472427336,1.774901597268506e-05,COMPLETE
46,46,3.327138930172115,2024-04-29 13:16:31.248451,2024-04-29 13:37:08.433745,0 days 00:20:37.185294,0.8430456773454923,0.8349498386857463,8,0.040646312046486395,0.00015765698423312355,1.757867311842332e-05,COMPLETE
47,47,3.7592988876037268,2024-04-29 13:18:11.197344,2024-04-29 13:39:54.356197,0 days 00:21:43.158853,0.7076522091647316,0.8505502085059345,8,0.04047381288417562,0.00012369426320617472,3.17731591809798e-05,COMPLETE
48,48,3.286081282091347,2024-04-29 13:23:29.379713,2024-04-29 13:43:32.267562,0 days 00:20:02.887849,0.7077862926358354,0.6884810025901242,8,0.03072040293639083,0.00010142835501042074,3.179842573096856e-05,COMPLETE
49,49,3.456555532686638,2024-04-29 13:27:44.635870,2024-04-29 13:49:12.541805,0 days 00:21:27.905935,0.7947923120474809,0.6802070763476493,8,0.1281273706500485,0.00010790549553156971,3.1829688332127905e-05,COMPLETE
50,50,3.758610843063949,2024-04-29 13:37:08.456195,2024-04-29 13:58:21.941784,0 days 00:21:13.485589,0.8007420343186897,0.6766316381875486,8,0.12689288285344522,0.00012281480234277355,3.169689521368196e-05,COMPLETE
