,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
65,65,0.038103644643382076,2024-05-01 14:20:40.344449,2024-05-01 14:22:59.497143,0 days 00:02:19.152694,0.6559318007550368,0.9085721719736535,768,0.0037157004114806865,2,2,2.3731360071203668e-05,COMPLETE
66,66,0.035944949367861724,2024-05-01 14:20:56.445959,2024-05-01 14:23:30.697695,0 days 00:02:34.251736,0.8201396852564744,0.5439766001565767,640,0.00571461062068308,16,4,8.461931974164547e-05,COMPLETE
67,67,0.012520534413749779,2024-05-01 14:21:22.383115,2024-05-01 14:24:33.385344,0 days 00:03:11.002229,0.7474394358594518,0.7730561633534707,512,0.0006751946901883077,2,2,9.472055583620527e-05,COMPLETE
68,68,0.010130352933298458,2024-05-01 14:21:37.508417,2024-05-01 14:23:59.181755,0 days 00:02:21.673338,0.7904254151757093,0.6444619876092781,768,0.000760048860271856,2,4,5.491076480219305e-05,COMPLETE
69,69,0.04937276386885674,2024-05-01 14:22:23.201470,2024-05-01 14:27:57.945076,0 days 00:05:34.743606,0.8293862158297214,0.8670279108347849,896,0.004063088351718137,8,1,7.930668367121949e-05,COMPLETE
70,70,0.016990215497422013,2024-05-01 14:22:53.456350,2024-05-01 14:24:20.308960,0 days 00:01:26.852610,0.5348721582941359,0.6926957298571739,128,0.001149313251591902,16,2,8.357653750886863e-05,COMPLETE
71,71,0.05061512614612455,2024-05-01 14:22:59.627164,2024-05-01 14:25:02.656257,0 days 00:02:03.029093,0.7979322058726416,0.639645922797244,1024,0.009492771359532765,8,1,5.24166942071578e-05,COMPLETE
72,72,0.032360561949995176,2024-05-01 14:23:30.778417,2024-05-01 14:25:35.630189,0 days 00:02:04.851772,0.7943961883184705,0.8078885129249169,512,0.002842479288195417,2,3,9.970178910296002e-05,COMPLETE
73,73,0.03779375932917192,2024-05-01 14:23:59.274406,2024-05-01 14:25:47.283638,0 days 00:01:48.009232,0.8968745221508477,0.9705104817635444,128,0.009247069637750675,8,3,5.7695023891797716e-05,COMPLETE
74,74,0.03871675889568153,2024-05-01 14:24:20.356085,2024-05-01 14:26:03.517003,0 days 00:01:43.160918,0.8821066776659394,0.9973473224540876,512,0.003228942580161722,8,3,5.6798543366697455e-05,COMPLETE
75,75,0.030541535654383434,2024-05-01 14:24:33.436765,2024-05-01 14:29:29.882397,0 days 00:04:56.445632,0.8990064679639806,0.9650395398761475,384,0.003303603776266489,8,3,5.982119877267175e-05,COMPLETE
76,76,0.0700409747942379,2024-05-01 14:25:02.755073,2024-05-01 14:27:28.466205,0 days 00:02:25.711132,0.8957731986046151,0.9881045075963169,384,0.003029160651285901,4,3,5.83405037256891e-05,COMPLETE
77,77,0.07315830367887433,2024-05-01 14:25:35.734404,2024-05-01 14:27:31.690466,0 days 00:01:55.956062,0.8992055718363672,0.9883230625461612,384,0.003723701178510436,4,3,5.673926784760449e-05,COMPLETE
78,78,0.1807259757603918,2024-05-01 14:25:47.338080,2024-05-01 14:27:44.327375,0 days 00:01:56.989295,0.8479076962338195,0.7056465888111477,384,0.003562389242486823,4,4,6.794122968292793e-05,COMPLETE
79,79,0.15510189788440218,2024-05-01 14:26:03.571577,2024-05-01 14:27:55.443855,0 days 00:01:51.872278,0.6677564998269538,0.718454860566923,384,0.00425643729201243,4,4,3.74741902766072e-05,COMPLETE
80,80,0.10958326883710824,2024-05-01 14:27:28.544644,2024-05-01 14:30:22.123172,0 days 00:02:53.578528,0.661477227549619,0.5028843657336951,768,0.004124117354432952,4,4,4.077164657763761e-05,COMPLETE
81,81,0.033194183375992815,2024-05-01 14:27:31.728162,2024-05-01 14:29:50.023869,0 days 00:02:18.295707,0.6702351809714135,0.5055456756056769,768,0.0016784445150905196,2,4,3.936053460674644e-05,COMPLETE
82,82,0.04850532424140286,2024-05-01 14:27:44.431992,2024-05-01 14:29:49.416178,0 days 00:02:04.984186,0.7555179983136655,0.5195004735804387,768,0.0062097124628596925,2,4,3.906369718358784e-05,COMPLETE
83,83,0.017058424740320162,2024-05-01 14:27:55.489426,2024-05-01 14:29:04.534050,0 days 00:01:09.044624,0.7507230499657229,0.5032168735405692,768,0.0017676920577618942,2,1,4.034805273603607e-05,COMPLETE
84,84,0.012214725012628934,2024-05-01 14:27:58.002342,2024-05-01 14:33:19.119167,0 days 00:05:21.116825,0.7433383270548244,0.7592627781285088,512,0.0014274736553382492,2,2,4.156271623808321e-05,COMPLETE
85,85,0.01334887659540037,2024-05-01 14:29:04.577027,2024-05-01 14:30:42.827486,0 days 00:01:38.250459,0.7757830468716647,0.7585990331966006,512,0.0003016505449124593,2,2,1.1824790758023928e-05,COMPLETE
86,86,0.01370814445859942,2024-05-01 14:29:29.924709,2024-05-01 14:32:18.338743,0 days 00:02:48.414034,0.7568066335505197,0.772785243890232,512,0.00022463435274533785,2,2,7.018877133277966e-05,COMPLETE
87,87,0.017125263802094375,2024-05-01 14:29:49.518597,2024-05-01 14:31:15.995732,0 days 00:01:26.477135,0.6971929926929934,0.7721726984505395,512,0.00018875221887637285,2,2,8.70365691707403e-06,COMPLETE
