Epoch: 237, batch-idx: 735, L1: 0.6476781368255615
Epoch: 238, batch-idx: 735, L1: 0.600673496723175
Epoch: 239, batch-idx: 735, L1: 0.8017839193344116
Epoch: 240, batch-idx: 735, L1: 0.5933576822280884
Epoch: 241, batch-idx: 735, L1: 0.5442020297050476
Epoch: 242, batch-idx: 735, L1: 0.6707568764686584
Epoch: 243, batch-idx: 735, L1: 0.5928865075111389
Epoch: 244, batch-idx: 735, L1: 0.5721597671508789
Epoch: 245, batch-idx: 735, L1: 0.565933108329773
Epoch: 246, batch-idx: 735, L1: 0.6869000792503357
Epoch: 247, batch-idx: 735, L1: 0.7147721648216248
Epoch: 248, batch-idx: 735, L1: 0.5482363104820251
Epoch: 249, batch-idx: 735, L1: 0.9053091406822205
Epoch: 250, batch-idx: 735, L1: 0.5996140837669373
Epoch: 251, batch-idx: 735, L1: 0.5386083126068115
Epoch: 252, batch-idx: 735, L1: 0.5507593154907227
Epoch: 253, batch-idx: 735, L1: 0.5618133544921875
Epoch: 254, batch-idx: 735, L1: 0.5298663377761841
Epoch: 255, batch-idx: 735, L1: 0.6468048095703125
Epoch: 256, batch-idx: 735, L1: 0.7513099908828735
Epoch: 257, batch-idx: 735, L1: 0.5902588367462158
Epoch: 258, batch-idx: 735, L1: 0.6074400544166565
Epoch: 259, batch-idx: 735, L1: 0.9652759432792664
Epoch: 260, batch-idx: 735, L1: 0.5459843277931213
Epoch: 261, batch-idx: 735, L1: 0.4950121343135834
Epoch: 262, batch-idx: 735, L1: 0.7226485013961792
Epoch: 263, batch-idx: 735, L1: 0.6456575989723206
Epoch: 264, batch-idx: 735, L1: 0.5689108967781067
Epoch: 265, batch-idx: 735, L1: 0.5724469423294067
Epoch: 266, batch-idx: 735, L1: 0.5175181031227112
Epoch: 267, batch-idx: 735, L1: 0.6256741285324097
Epoch: 268, batch-idx: 735, L1: 0.5831359028816223
Epoch: 269, batch-idx: 735, L1: 0.518161952495575
Epoch: 270, batch-idx: 735, L1: 0.5241028070449829
Epoch: 271, batch-idx: 735, L1: 0.6665622591972351
Epoch: 272, batch-idx: 735, L1: 0.5364293456077576
Epoch: 273, batch-idx: 735, L1: 0.548370897769928
Epoch: 274, batch-idx: 735, L1: 0.5307308435440063
Epoch: 275, batch-idx: 735, L1: 0.9702452421188354
Epoch: 276, batch-idx: 735, L1: 0.6561327576637268
Epoch: 277, batch-idx: 735, L1: 0.5114144682884216
Epoch: 278, batch-idx: 735, L1: 0.6147592663764954
Epoch: 279, batch-idx: 735, L1: 0.5088378190994263
Epoch: 280, batch-idx: 735, L1: 0.5122691988945007
Epoch: 281, batch-idx: 735, L1: 0.5578578114509583
Epoch: 282, batch-idx: 735, L1: 0.5624906420707703
Epoch: 283, batch-idx: 735, L1: 0.5255062580108643
Epoch: 284, batch-idx: 735, L1: 0.5751333832740784
Epoch: 285, batch-idx: 735, L1: 0.5432484745979309
Epoch: 286, batch-idx: 735, L1: 0.5564762949943542
Epoch: 287, batch-idx: 735, L1: 0.5496813654899597
Epoch: 288, batch-idx: 735, L1: 0.5101577639579773
Epoch: 289, batch-idx: 735, L1: 0.6275585293769836
Epoch: 290, batch-idx: 735, L1: 0.624252200126648
Epoch: 291, batch-idx: 735, L1: 0.5137531161308289
Epoch: 292, batch-idx: 735, L1: 0.5941188335418701
Epoch: 293, batch-idx: 735, L1: 0.49547848105430603
Epoch: 294, batch-idx: 735, L1: 0.5210293531417847
Epoch: 295, batch-idx: 735, L1: 0.6893321871757507
Epoch: 296, batch-idx: 735, L1: 0.4650460481643677
Epoch: 297, batch-idx: 735, L1: 0.520197331905365
Epoch: 298, batch-idx: 735, L1: 0.6185960173606873
Epoch: 299, batch-idx: 735, L1: 0.5138025283813477
Epoch: 300, batch-idx: 735, L1: 0.6630516052246094
Epoch: 301, batch-idx: 735, L1: 0.5166592001914978
Epoch: 302, batch-idx: 735, L1: 0.6059133410453796
Epoch: 303, batch-idx: 735, L1: 0.5963026881217957
Epoch: 304, batch-idx: 735, L1: 0.9172887802124023
Epoch: 305, batch-idx: 735, L1: 0.5399225950241089
Epoch: 306, batch-idx: 735, L1: 0.5233359336853027
Epoch: 307, batch-idx: 735, L1: 0.515751838684082
Epoch: 308, batch-idx: 735, L1: 0.5076096057891846
Epoch: 309, batch-idx: 735, L1: 0.6029378175735474
Epoch: 310, batch-idx: 735, L1: 0.504784345626831
Epoch: 311, batch-idx: 735, L1: 0.58306485414505
Epoch: 312, batch-idx: 735, L1: 0.5498250126838684
Epoch: 313, batch-idx: 735, L1: 0.5944737195968628
Epoch: 314, batch-idx: 735, L1: 0.6908676624298096
Epoch: 315, batch-idx: 735, L1: 0.5043318271636963
Epoch: 316, batch-idx: 735, L1: 0.5297531485557556
Epoch: 317, batch-idx: 735, L1: 0.530691921710968
Epoch: 318, batch-idx: 735, L1: 0.5400006175041199
Epoch: 319, batch-idx: 735, L1: 0.5471968054771423
Epoch: 320, batch-idx: 735, L1: 0.5263141393661499
Epoch: 321, batch-idx: 735, L1: 0.572321891784668
Epoch: 322, batch-idx: 735, L1: 0.695898175239563
Epoch: 323, batch-idx: 735, L1: 0.5905093550682068
Epoch: 324, batch-idx: 735, L1: 0.49379873275756836
Epoch: 325, batch-idx: 735, L1: 0.5510242581367493
Epoch: 326, batch-idx: 735, L1: 0.674622118473053
Epoch: 327, batch-idx: 735, L1: 0.5646021962165833
Epoch: 328, batch-idx: 735, L1: 0.7289836406707764
Epoch: 329, batch-idx: 735, L1: 0.5998267531394958
Epoch: 330, batch-idx: 735, L1: 0.5987640619277954
Epoch: 331, batch-idx: 735, L1: 0.5663491487503052
Epoch: 332, batch-idx: 735, L1: 0.47993776202201843
Epoch: 333, batch-idx: 735, L1: 0.5233553051948547
Epoch: 334, batch-idx: 735, L1: 0.5318760275840759
Epoch: 335, batch-idx: 735, L1: 0.4704885482788086
Epoch: 336, batch-idx: 735, L1: 0.5533773899078369
Epoch: 337, batch-idx: 735, L1: 0.5131478905677795
Epoch: 338, batch-idx: 735, L1: 0.5057886242866516
Epoch: 339, batch-idx: 735, L1: 0.5985583662986755
Epoch: 340, batch-idx: 735, L1: 0.539168655872345
Epoch: 341, batch-idx: 735, L1: 0.5963771343231201
Epoch: 342, batch-idx: 735, L1: 0.4983817934989929
Epoch: 343, batch-idx: 735, L1: 0.5306424498558044
Epoch: 344, batch-idx: 735, L1: 0.5937908291816711
Epoch: 345, batch-idx: 735, L1: 0.702892005443573
Epoch: 346, batch-idx: 735, L1: 0.5157623291015625
Epoch: 347, batch-idx: 735, L1: 0.579696774482727
Epoch: 348, batch-idx: 735, L1: 0.5334861874580383
Epoch: 349, batch-idx: 735, L1: 0.548111081123352
Epoch: 350, batch-idx: 735, L1: 0.6358003616333008
Epoch: 351, batch-idx: 735, L1: 0.5115629434585571
Epoch: 352, batch-idx: 735, L1: 0.4547777473926544
Epoch: 353, batch-idx: 735, L1: 0.5165101885795593
Epoch: 354, batch-idx: 735, L1: 0.6037878394126892
Epoch: 355, batch-idx: 735, L1: 0.5226184129714966
