,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
408,408,0.012510055254790046,2024-04-30 12:29:43.583438,2024-04-30 12:32:04.152073,0 days 00:02:20.568635,0.8741572615916936,0.8481635230806877,896,0.0014670426936257345,8,4,4.347997329328002e-05,COMPLETE
409,409,0.08483650765151947,2024-04-30 12:30:19.436496,2024-04-30 12:31:59.240643,0 days 00:01:39.804147,0.8761218133512477,0.9587158595039104,896,0.00362436914196444,8,3,4.362336958374985e-05,COMPLETE
410,410,0.009107960085686925,2024-04-30 12:30:38.108232,2024-04-30 12:32:26.249412,0 days 00:01:48.141180,0.8998657612741802,0.9629815241440817,896,0.0013574482603819103,8,3,6.182629312651068e-05,COMPLETE
411,411,0.009917157952113327,2024-04-30 12:31:59.351920,2024-04-30 12:33:56.080010,0 days 00:01:56.728090,0.8953726185296262,0.9708326539967101,896,0.0013181654463530626,8,4,6.284216885611017e-05,COMPLETE
412,412,0.016873146354894102,2024-04-30 12:32:04.206968,2024-04-30 12:34:17.042899,0 days 00:02:12.835931,0.7506831274738245,0.9693600033292779,896,0.0011798523237209857,8,4,6.411016957302398e-05,COMPLETE
413,413,0.032127662573928954,2024-04-30 12:32:24.354381,2024-04-30 12:36:01.076619,0 days 00:03:36.722238,0.7651289561443252,0.9640667502438164,896,0.001282798569441037,8,4,6.534125707266494e-05,COMPLETE
414,414,0.008651444027240659,2024-04-30 12:32:26.330753,2024-04-30 12:34:27.950242,0 days 00:02:01.619489,0.8998939386331576,0.9704306829272697,896,0.0008208740259666415,8,4,6.516494837563519e-05,COMPLETE
415,415,0.008158481639539783,2024-04-30 12:33:56.216508,2024-04-30 12:35:53.696138,0 days 00:01:57.479630,0.8998582264792627,0.9559055690439323,896,0.0007616170391126954,8,4,4.7046089806026585e-05,COMPLETE
416,416,0.008009682244165634,2024-04-30 12:34:17.122004,2024-04-30 12:36:22.818085,0 days 00:02:05.696081,0.8836310482073527,0.9601761886824821,896,0.0007761030115760909,8,3,4.69129477125402e-05,COMPLETE
417,417,0.007495612976467842,2024-04-30 12:34:21.746089,2024-04-30 12:41:54.028902,0 days 00:07:32.282813,0.893669582167648,0.9735822697675279,1024,0.0007726950702106945,8,4,4.744198109190009e-05,COMPLETE
418,418,0.008977975228648166,2024-04-30 12:34:28.019222,2024-04-30 12:36:32.332959,0 days 00:02:04.313737,0.8928269354267495,0.9582511077725733,1024,0.0006675246269197767,8,4,4.6593895198313656e-05,COMPLETE
419,419,0.008517010347087146,2024-04-30 12:35:53.797699,2024-04-30 12:37:50.756358,0 days 00:01:56.958659,0.8934482375332238,0.9591218224641949,896,0.0007401117681820896,8,4,4.6764828900646006e-05,COMPLETE
420,420,0.008278724362517332,2024-04-30 12:36:01.389086,2024-04-30 12:39:37.657207,0 days 00:03:36.268121,0.8993711150226367,0.9530627408860141,896,0.0007512858744247314,8,4,4.6949316873408515e-05,COMPLETE
421,421,0.007608971558511257,2024-04-30 12:36:22.874429,2024-04-30 12:38:37.736611,0 days 00:02:14.862182,0.8923976311672451,0.9749893989821272,896,0.0007198163535304022,8,4,4.7410890464450475e-05,COMPLETE
